Domain,Linux,Accessible,Download,
https://cdn.redhat.com/content/dist/rhel/server/6/$releasever/$basearch/supplementary/os,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/6/$releasever/$basearch/rh-common/os,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/6/$releasever/$basearch/subscription-asset-manager/1/source/SRPMS,RedHat,No,No,No
https://cdn.redhat.com/content/fastrack/rhel/server/6/$basearch/scalablefilesystem/source/SRPMS,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/6/$releasever/$basearch/ceph-mon/1.2/source/SRPMS,RedHat,No,No,No
https://cdn.redhat.com/content/beta/rhel/server/6/$releasever/$basearch/supplementary/source/SRPMS,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/6/$releasever/$basearch/ceph-calamari/1.2/os,RedHat,No,No,No
https://cdn.redhat.com/content/fastrack/rhel/server/6/$basearch/optional/os,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/6/$releasever/$basearch/v2vwin/debug,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/6/$releasever/$basearch/scalablefilesystem/debug,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/6/6Server/$basearch/extras/source/SRPMS,RedHat,No,No,No
https://cdn.redhat.com/content/beta/rhel/server/6/$releasever/$basearch/subscription-asset-manager/debug,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/6/$releasever/$basearch/rhn-tools/debug,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/6/$releasever/$basearch/ceph-osd/1.2/source/SRPMS,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/6/6Server/$basearch/sat-tools/6.1/source/SRPMS,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/6/$releasever/$basearch/ceph-mon/1.2/os,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/6/$releasever/$basearch/rhscl/1/source/SRPMS,RedHat,No,No,No
https://cdn.redhat.com/content/beta/rhel/server/6/$releasever/$basearch/supplementary/debug,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/6/$releasever/$basearch/rhv-agent/4/source/SRPMS,RedHat,No,No,No
https://cdn.redhat.com/content/beta/rhel/server/6/$releasever/$basearch/optional/os,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/6/$releasever/$basearch/rhscl/1/os,RedHat,No,No,No
https://cdn.redhat.com/content/fastrack/rhel/server/6/$basearch/scalablefilesystem/os,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/6/$releasever/$basearch/v2vwin/source/SRPMS,RedHat,No,No,No
https://cdn.redhat.com/content/beta/rhel/server/6/6Server/$basearch/rh-common/source/SRPMS,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/6/$releasever/$basearch/rhv-agent/4/os,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/6/$releasever/$basearch/rhev-agent/3/debug,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/6/$releasever/$basearch/rhn-tools/os,RedHat,No,No,No
https://cdn.redhat.com/content/beta/rhel/server/6/$releasever/$basearch/rhn-tools/debug,RedHat,No,No,No
https://cdn.redhat.com/content/fastrack/rhel/server/6/$basearch/source/SRPMS,RedHat,No,No,No
https://cdn.redhat.com/content/fastrack/rhel/server/6/$basearch/optional/source/SRPMS,RedHat,No,No,No
https://cdn.redhat.com/content/beta/rhel/server/6/$releasever/$basearch/rhev-agent/3/debug,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/6/$releasever/$basearch/os,RedHat,No,No,No
https://cdn.redhat.com/content/eus/rhel/server/6/$releasever/$basearch/rhscl/1/os,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/6/6Server/$basearch/sat-tools/6.2/debug,RedHat,No,No,No
https://cdn.redhat.com/content/fastrack/rhel/server/6/$basearch/os,RedHat,No,No,No
